SCIENTIFIC_NAME,order,Family,Diet,Foraging_behaviour,Foraging_substrate,Habitat,Nesting_site,Overall_specialization,urban_score,urban_score_sample,lists_in_range_urban_score,relative_urbanness
Hippolais icterina,Passeriformes,Sylviidae,1,0.33333,0.2,0.33333,0.125,0.213,0.7061829566955566,1051,1.269454836845398,-1.6173357664455497
Hippolais olivetorum,Passeriformes,Sylviidae,0.5,0.5,0.25,0.33333,0.25,0.173,0.7431973218917847,129,1.375580072402954,-1.6723737673744836
Hippolais polyglotta,Passeriformes,Sylviidae,1,0.25,0.25,0.33333,0.2,0.225,0.8260329365730286,4886,1.399987518787384,-1.5911081502577722
Hirundo rustica,Passeriformes,Hirundinidae,1,1,1,0.5,0.5,0.739,1.8080915212631226,61384,1.718553900718689,-1.1262820198622054
Histrionicus histrionicus,Anseriformes,Anatidae,0.5,0,0.5,1,0.25,0.281,0.96738433837890625,603,1.259035348892212,-1.292194757011899
Ixobrychus minutus,Pelecaniformes,Ardeidae,0.5,1,0.33333,0.33333,0.25,0.324,2.3968734741210937,2028,1.5085103511810303,-0.6343451822195482
Jynx torquilla,Piciformes,Picidae,1,1,0.2,0.5,0.25,0.464,0.787042498588562,1242,1.5884647369384766,-1.827937768213343
Lagopus lagopus,Galliformes,Phasianidae,0.33333,1,0.33333,0.5,0.33333,0.346,0.4287135601043701,225,1.2711584568023682,-2.1181247319265117
Lanius collurio,Passeriformes,Laniidae,1,0.33333,0.25,1,0.33333,0.455,0.5485419631004333,5724,1.528266429901123,-2.1287579268975696
Lanius excubitor,Passeriformes,Laniidae,0.5,0.33333,0.25,0.5,0.2,0.159,0.5818833708763123,480,1.6537648439407349,-2.1952500889562434
Lanius minor,Passeriformes,Laniidae,1,0.33333,0.25,0.5,0.33333,0.324,0.5880469083786011,971,1.4496772289276123,-1.9806257870389872
Lanius nubicus,Passeriformes,Laniidae,0.5,0.33333,0.25,0.33333,0.16667,0.107,1.4269537925720215,724,1.2818001508712769,-0.9262581937193328
Lanius senator,Passeriformes,Laniidae,1,0.33333,0.25,0.5,0.2,0.29,0.37179848551750183,4105,1.6060094833374023,-2.5954127604199924
Locustella fluviatilis,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.25,0.25,0.173,0.41624999046325684,265,1.4490506649017334,-2.325519925500312
Locustella luscinioides,Passeriformes,Sylviidae,0.5,0.5,0.2,0.33333,0.33333,0.18,0.5470413565635681,1120,1.5693752765655518,-2.172606149834589
Locustella naevia,Passeriformes,Sylviidae,1,0.33333,0.33333,0.33333,0.25,0.281,0.7061829566955566,860,1.6144123077392578,-1.9622932373394095
Loxia curvirostra,Passeriformes,Fringillidae,1,1,0.33333,1,0.5,0.695,0.5615755319595337,1537,1.7332000732421875,-2.3102090689099795
Lullula arborea,Passeriformes,Alaudidae,0.33333,1,0.33333,0.33333,0.16667,0.259,0.3076152205467224,3298,1.5820393562316895,-2.7609449171851783
Luscinia luscinia,Passeriformes,Muscicapidae,0.33333,1,0.33333,0.5,0.25,0.324,0.6492134928703308,1463,1.4011025428771973,-1.8330962025927184
Luscinia megarhynchos,Passeriformes,Muscicapidae,0.33333,0.5,0.33333,0.5,0.16667,0.173,0.8590853214263916,14288,1.5820393562316895,-1.7339263917053165
Mareca penelope,Anseriformes,Anatidae,1,0.5,0.25,0.33333,0.16667,0.281,1.1282017230987549,4718,1.6662485599517822,-1.5456235903301894
Mareca strepera,Anseriformes,Anatidae,1,0.5,0.33333,0.5,0.33333,0.39,0.997499942779541,8731,1.6951661109924316,-1.6976692985744204
Marmaronetta angustirostris,Anseriformes,Anatidae,0.2,1,0.33333,1,0.33333,0.442,0.9657776355743408,190,1.518667221069336,-1.553488883253782
Melanitta fusca,Anseriformes,Anatidae,1,1,0.5,0.5,0.25,0.542,0.9501754343509674,546,1.3300281763076782,-1.381136820006356
Melanitta nigra,Anseriformes,Anatidae,1,1,0.5,0.5,0.33333,0.565,1.121607780456543,1787,1.635513424873352,-1.5207502506729194
Melanocorypha calandra,Passeriformes,Alaudidae,0.5,1,0.5,1,0.25,0.542,0.25991392135620117,1803,1.2088874578475952,-2.5562922323374595
Mergellus albellus,Anseriformes,Anatidae,0.5,0.5,0.5,0.2,0.33333,0.225,1.0337231159210205,311,1.465009093284607,-1.4318421326312025
Mergus merganser,Anseriformes,Anatidae,1,1,0.5,0.5,0.25,0.542,1.1073085069656372,2588,1.4537570476531982,-1.3518247453403223
Mergus serrator,Anseriformes,Anatidae,1,1,0.5,0.2,0.2,0.451,1.2947638034820557,4521,1.4752278327941895,-1.2168995454115217
Merops apiaster,Coraciiformes,Meropidae,1,0.5,1,0.33333,0.5,0.565,0.7823984622955322,12987,1.5974913835525513,-1.842882509184708
Milvus migrans,Accipitriformes,Accipitridae,0.25,0.5,0.33333,0.16667,0.25,0.085,0.8795855045318604,12226,1.5974913835525513,-1.725795883603492
Milvus milvus,Accipitriformes,Accipitridae,0.25,0.5,1,0.25,0.5,0.346,0.8012722730636597,4931,1.5249979496002197,-1.7465524228384681
Monticola saxatilis,Passeriformes,Muscicapidae,1,0.33333,1,0.5,0.5,0.565,0.2801969647407532,457,1.1257381439208984,-2.3980006215329146
Monticola solitarius,Passeriformes,Muscicapidae,0.33333,0.5,1,0.5,0.5,0.434,0.40315550565719604,2137,1.1936819553375244,-2.1021148766845945
Montifringilla nivalis,Passeriformes,Passeridae,0.33333,0.5,0.5,0.5,0.5,0.303,0.28614914417266846,140,1.4490506649017334,-2.7002927858678696
Motacilla alba,Passeriformes,Motacillidae,0.5,0.5,0.25,0.33333,0.125,0.14,1.5325000286102295,38338,1.694225788116455,-1.2673253806192344
Motacilla cinerea,Passeriformes,Motacillidae,1,0.25,0.25,0.5,0.25,0.281,1.4044526815414429,5814,1.7578048706054687,-1.4181571942185789
Motacilla citreola,Passeriformes,Motacillidae,0.5,0.5,0.25,0.5,0.33333,0.238,0.4692660868167877,186,1.1257381439208984,-1.8823234660489905
Motacilla flava,Passeriformes,Motacillidae,0.5,0.5,0.25,0.33333,0.33333,0.193,0.9750000238418579,11061,1.7418776750564575,-1.76719545858756
Muscicapa striata,Passeriformes,Muscicapidae,0.5,1,0.33333,0.25,0.14286,0.275,1.8947157859802246,6892,1.6522272825241089,-1.0131584362510702
Neophron percnopterus,Accipitriformes,Accipitridae,0.5,1,1,0.25,0.5,0.542,0.33414191007614136,2382,1.1260781288146973,-2.222267624588792
Netta rufina,Anseriformes,Anatidae,1,1,0.33333,1,0.33333,0.651,1.513084053993225,2955,1.557105541229248,-1.1429555534431735
Nucifraga caryocatactes,Passeriformes,Corvidae,0.25,0.5,0.25,1,0.5,0.346,0.6195262372493744,364,1.4016612768173218,-1.8804615033278627
Nycticorax nycticorax,Pelecaniformes,Ardeidae,0.5,1,0.25,0.5,0.33333,0.369,1.9588744640350342,3743,1.6528680324554443,-0.9804979772027976
Oenanthe hispanica,Passeriformes,Muscicapidae,1,0.5,0.5,0.33333,0.5,0.434,0.35864444077014923,1492,1.186119556427002,-2.2115433533885884
Oenanthe isabellina,Passeriformes,Muscicapidae,0.5,0.5,1,1,0.5,0.608,0.35322433710098267,783,1.301396131515503,-2.3420480395522283
Oenanthe leucura,Passeriformes,Muscicapidae,1,0.33333,0.5,1,0.5,0.565,0.9363633394241333,467,1.4490506649017334,-1.5148023595844218
Oenanthe oenanthe,Passeriformes,Muscicapidae,0.5,0.33333,0.25,0.25,0.33333,0.128,0.5800265073776245,6086,1.6530810594558716,-2.1977625335666504
Oenanthe pleschanka,Passeriformes,Muscicapidae,1,0.5,0.33333,1,0.33333,0.52,0.461850106716156,121,1.308896780014038,-2.081411664895212
Oriolus oriolus,Passeriformes,Oriolidae,0.5,0.25,0.25,0.5,0.2,0.137,0.738359808921814,10050,1.641186237335205,-1.9445102645642698
Otis tarda,Otidiformes,Otididae,0.33333,0.5,0.5,1,0.5,0.434,0.26513004302978516,406,1.374642550945282,-2.702177395894725
Otus scops,Strigiformes,Strigidae,0.5,0.33333,0.5,0.33333,0.2,0.18,2.3565239906311035,1216,1.2300288677215576,-0.37284121977170004
Oxyura leucocephala,Anseriformes,Anatidae,0.2,0,0.5,1,0.33333,0.225,1.8080915212631226,704,1.4834825992584229,-0.8912107184019392
Pandion haliaetus,Accipitriformes,Accipitridae,1,1,0.33333,0.5,0.2,0.486,0.7954994440078735,2013,1.6361191272735596,-1.8649042573996915
Panurus biarmicus,Passeriformes,Timaliidae,0.33333,0.2,0.16667,0.33333,0.5,0.094,0.5409440398216248,689,1.4856764078140259,-2.1001158517071503
Parus major,Passeriformes,Paridae,0.33333,0.5,0.33333,0.25,0.14286,0.101,2.4583024978637695,40663,1.620067834854126,-0.7205967646168757
Passer domesticus,Passeriformes,Passeridae,0.5,0.5,0.25,0.33333,0.2,0.159,6.991690635681152,65731,1.714343786239624,0.23037860566580792
Passer hispaniolensis,Passeriformes,Passeridae,0.33333,0.5,0.33333,0.33333,0.2,0.137,0.4054209738969803,3130,1.2236790657043457,-2.126508375704491
Passer montanus,Passeriformes,Passeridae,0.33333,0.5,1,0.33333,0.25,0.324,2.443689227104187,10328,1.6484463214874268,-0.7549374457492882
Pelecanus crispus,Pelecaniformes,Pelecanidae,1,1,0.5,1,0.5,0.739,0.43961645662784576,310,1.3849412202835083,-2.2067938419777104
Perdix perdix,Galliformes,Phasianidae,0.5,1,1,1,0.33333,0.695,0.5959033966064453,449,1.5326223373413086,-2.050299048626285
Periparus ater,Passeriformes,Paridae,0.33333,0.33333,0.33333,1,0.2,0.268,1.6671878099441528,9262,1.6060094833374023,-1.0948712224809884
Pernis apivorus,Accipitriformes,Accipitridae,0.5,0.33333,1,0.33333,0.25,0.324,0.7342880964279175,2774,1.6013048887252808,-1.910158714156249
Petronia petronia,Passeriformes,Passeridae,0.33333,0.5,0.5,0.25,0.2,0.159,0.4015112519264221,2329,1.2053372859954834,-2.1178570072601466
Phalacrocorax carbo,Suliformes,Phalacrocoracidae,1,1,0.5,0.5,0.2,0.529,1.4375885725021362,18059,1.6955822706222534,-1.3326151631773913
Phasianus colchicus,Galliformes,Phasianidae,0.16667,0.5,1,0.5,0.33333,0.346,0.9770978093147278,6421,1.5310237407684326,-1.5541922608304921
Phoenicurus ochruros,Passeriformes,Muscicapidae,0.33333,0.5,0.25,0.5,0.33333,0.193,3.7014808654785156,15042,1.6060094833374023,-0.29727650984633947
Phoenicurus phoenicurus,Passeriformes,Muscicapidae,0.5,0.33333,0.25,0.5,0.125,0.14,1.1264207363128662,3874,1.6464887857437134,-1.5274436701228562
Phylloscopus bonelli,Passeriformes,Sylviidae,1,0.33333,0.33333,0.5,0.14286,0.297,0.4088285565376282,2953,1.1402301788330078,-2.034689566821265
Phylloscopus collybita,Passeriformes,Sylviidae,1,0.5,0.5,0.5,0.14286,0.384,1.0762770175933838,14908,1.7340309619903564,-1.660523082090695
Phylloscopus sibilatrix,Passeriformes,Sylviidae,0.5,0.33333,0.33333,0.5,0.16667,0.173,0.888375461101532,1202,1.600261151790619,-1.7186219605865383
Phylloscopus trochiloides,Passeriformes,Sylviidae,0.5,0.33333,0.2,0.33333,0.16667,0.094,1.3045001029968262,125,1.4490506649017334,-1.1832307603520684
Phylloscopus trochilus,Passeriformes,Sylviidae,0.5,0.33333,0.2,0.2,0.2,0.068,0.9415774345397949,12714,1.7341303825378418,-1.7943290708782877
Pica pica,Passeriformes,Corvidae,0.16667,0.33333,0.5,0.25,0.14286,0.058,5.14133882522583,38871,1.6174477934837341,0.01986572390025998
Picus canus,Piciformes,Picidae,1,0.5,0.33333,0.5,0.2,0.356,0.5362592041492462,236,1.445468783378601,-2.0686064283511314
Picus viridis,Piciformes,Picidae,1,0.5,0.33333,0.5,0.16667,0.346,1.3135852813720703,8575,1.5257902145385742,-1.2530299596873389
Platalea leucorodia,Pelecaniformes,Threskiornithidae,0.33333,1,0.33333,1,0.25,0.455,1.1805484294891357,4571,1.5628833770751953,-1.3969042758165902
Plectrophenax nivalis,Passeriformes,Emberizidae,0.5,0.5,0.5,0.5,0.33333,0.303,0.8605881929397583,523,1.3656814098358154,-1.5158205880755917
Plegadis falcinellus,Pelecaniformes,Threskiornithidae,1,1,0.25,0.33333,0.33333,0.455,1.3992356061935425,3319,1.5105621814727783,-1.174636089537469
Poecile montanus,Passeriformes,Paridae,0.33333,0.5,0.33333,0.33333,0.2,0.137,0.6720325946807861,1015,1.1331599950790405,-1.5306084307250434
Porphyrio porphyrio,Gruiformes,Rallidae,0.2,0.5,0.16667,0.33333,0.33333,0.094,1.8080915212631226,1391,1.456841230392456,-0.8645693495359724
Porzana porzana,Gruiformes,Rallidae,0.2,1,0.2,0.33333,0.33333,0.233,2.2891252040863037,215,1.4490506649017334,-0.6208809272680395
Prunella collaris,Passeriformes,Prunellidae,0.5,1,1,0.5,0.33333,0.565,0.2931987941265106,134,1.1976561546325684,-2.424560576412472
Prunella modularis,Passeriformes,Prunellidae,0.5,1,0.33333,0.25,0.125,0.271,2.7044172286987305,11023,1.503252387046814,-0.5083659402149382
Pterocles alchata,Pterocliformes,Pteroclididae,0.5,1,1,0.5,0.33333,0.565,0.2601010799407959,279,1.445468783378601,-2.7921537378932375
Pterocles orientalis,Pterocliformes,Pteroclididae,1,1,0.5,0.5,0.33333,0.565,0.2456303909420967,320,1.132811188697815,-2.5367385374414124
Ptyonoprogne rupestris,Passeriformes,Hirundinidae,1,1,1,1,0.5,0.869,0.5019800066947937,5843,1.413486123085022,-2.1026811104697654
Pyrrhocorax graculus,Passeriformes,Corvidae,0.5,1,1,0.33333,0.5,0.565,0.31374773383140564,497,1.103247880935669,-2.262413892346007
Pyrrhocorax pyrrhocorax,Passeriformes,Corvidae,0.25,0.25,1,0.33333,0.5,0.303,0.31220394372940063,1745,1.4856764078140259,-2.6497750467337546
Pyrrhula pyrrhula,Passeriformes,Fringillidae,0.33333,1,0.33333,0.5,0.14286,0.297,1.151174783706665,2931,1.4801902770996094,-1.3394073051033697
Rallus aquaticus,Gruiformes,Rallidae,0.11111,1,0.16667,0.33333,0.33333,0.201,0.8438514471054077,2299,1.6034204959869385,-1.7731993064034075
Regulus ignicapilla,Passeriformes,Reguliidae,0.5,0.5,0.33333,0.33333,0.25,0.193,1.4160595536231995,3866,1.5303468704223633,-1.1824688183917307
Regulus regulus,Passeriformes,Reguliidae,0.5,0.5,0.5,1,0.5,0.477,1.2880241870880127,3704,1.7183599472045898,-1.4652505409037064
Remiz pendulinus,Passeriformes,Remizidae,0.33333,0.5,0.33333,0.33333,0.2,0.137,0.9450339674949646,1413,1.4856764078140259,-1.5422108155092902
Riparia riparia,Passeriformes,Hirundinidae,0.5,1,1,1,0.33333,0.695,1.4208743572235107,9955,1.7390012741088867,-1.3877288474649951
Saxicola rubetra,Passeriformes,Muscicapidae,0.33333,0.5,0.25,1,0.33333,0.324,0.5456709861755371,2561,1.6267375946044922,-2.2324766688937925
Serinus serinus,Passeriformes,Fringillidae,1,1,0.33333,0.33333,0.25,0.455,3.1860625743865967,22021,1.5310237407684326,-0.3722378890507858
Sitta europaea,Passeriformes,Sittidae,0.33333,0.5,0.33333,0.5,0.25,0.193,0.9415774345397949,7770,1.602996826171875,-1.663195514512321
Sitta neumayer,Passeriformes,Sittidae,0.33333,1,0.5,1,0.5,0.565,0.41774529218673706,579,1.2485072612762451,-2.1213906422976376
Somateria mollissima,Anseriformes,Anatidae,1,1,0.5,1,0.25,0.673,1.4143311977386475,7713,1.1150145530700684,-0.7683577854847342
Somateria spectabilis,Anseriformes,Anatidae,1,1,0.5,0.33333,0.5,0.565,1.1560720205307007,134,1.3895460367202759,-1.244517966913602
Streptopelia decaocto,Columbiformes,Columbidae,0.5,1,1,1,0.25,0.673,6.327541351318359,36220,1.768908143043518,0.07600360554704011
Streptopelia turtur,Columbiformes,Columbidae,0.5,1,1,1,0.33333,0.695,0.8023689389228821,7255,1.6192731857299805,-1.8394599390294015
Strix aluco,Strigiformes,Strigidae,0.33333,1,0.33333,0.33333,0.14286,0.254,0.7780264317989349,1394,1.535743534564972,-1.7867383159112011
Sturnus unicolor,Passeriformes,Sturnidae,0.25,0.5,0.33333,0.33333,0.25,0.128,3.5528812408447266,20446,1.1489062309265137,0.11885266051708165
Sturnus vulgaris,Passeriformes,Sturnidae,0.25,0.5,0.5,0.25,0.25,0.15,3.4287078380584717,30908,1.7067811489105225,-0.4745976823089484
Sylvia atricapilla,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.5,0.2,0.225,1.875349760055542,30319,1.7494994401931763,-1.1207042594706924
Sylvia borin,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.33333,0.25,0.193,0.9300151467323303,4498,1.629616916179657,-1.7021713223381636
Sylvia cantillans,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.33333,0.5,0.259,0.2946963310241699,2322,1.5232813358306885,-2.745091175013762
Sylvia communis,Passeriformes,Sylviidae,0.5,0.5,0.5,0.5,0.25,0.281,0.884579062461853,9894,1.6646736860275269,-1.7873170687885682
Sylvia conspicillata,Passeriformes,Sylviidae,0.5,0.5,0.33333,1,0.5,0.434,0.5099464654922485,413,1.1632168292999268,-1.8366663576964308
Sylvia curruca,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.5,0.16667,0.216,0.9300151467323303,3593,1.580380916595459,-1.6529353227539656
Sylvia hortensis,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.33333,0.14286,0.166,0.22955670952796936,896,1.1965564489364624,-2.6681616286025243
Sylvia melanocephala,Passeriformes,Sylviidae,0.5,0.5,0.33333,1,0.14286,0.34,2.1368908882141113,13252,1.4801902770996094,-0.7208383604591453
Sylvia nisoria,Passeriformes,Sylviidae,0.33333,0.5,0.5,1,0.2,0.356,0.6187499761581421,503,1.4490506649017334,-1.9291046685332667
Sylvia ruppeli,Passeriformes,Sylviidae,0.5,0.5,0.33333,0.5,0.33333,0.259,0.764122724533081,116,1.5251501202583313,-1.794176988768637
Sylvia undata,Passeriformes,Sylviidae,0.5,0.5,0.5,0.5,0.5,0.346,0.39302462339401245,1672,1.1606802940368652,-2.094563308165884
Tadorna ferruginea,Anseriformes,Anatidae,0.25,0.33333,0.16667,1,0.25,0.216,0.5318570733070374,1035,1.7094827890396118,-2.34086327397275
Tadorna tadorna,Anseriformes,Anatidae,0.5,0.5,0.25,0.5,0.25,0.216,0.8665022253990173,8003,1.692151427268982,-1.8354420288367628
Tetrax tetrax,Otidiformes,Otididae,0.25,1,1,1,0.33333,0.63,0.318458616733551,403,1.4793750047683716,-2.6236377489429445
Troglodytes troglodytes,Passeriformes,Troglodytidae,1,0.5,0.33333,0.33333,0.16667,0.303,1.7304255962371826,25953,1.718807339668274,-1.1704399520282784
Turdus iliacus,Passeriformes,Turdidae,0.33333,1,0.33333,0.25,0.14286,0.231,1.5325000286102295,6393,1.445468783378601,-1.0185683758813804
Turdus merula,Passeriformes,Turdidae,0.33333,1,0.33333,0.2,0.125,0.213,3.4990386962890625,69502,1.7094827890396118,-0.45699451647284106
Turdus philomelos,Passeriformes,Turdidae,0.33333,1,0.5,0.2,0.11111,0.254,1.0591765642166138,11255,1.7467187643051147,-1.6892269842777135
Turdus pilaris,Passeriformes,Turdidae,0.33333,0.5,0.33333,0.33333,0.125,0.118,1.7736632823944092,5607,1.456841230392456,-0.8837941715137003
Turdus torquatus,Passeriformes,Turdidae,0.33333,1,0.33333,0.33333,0.25,0.281,0.3155192583799362,288,1.456841230392456,-2.6103767884323537
Turdus viscivorus,Passeriformes,Turdidae,0.33333,0.5,0.25,0.5,0.25,0.173,0.45465564727783203,4695,1.6099584102630615,-2.3981733759960537
Tyto alba,Strigiformes,Tytonidae,1,1,1,0.5,0.5,0.739,1.2313730716705322,633,1.4759126901626587,-1.267782824967107
Upupa epops,Bucerotiformes,Upupidae,0.5,0.33333,0.5,0.5,0.33333,0.259,0.7074999809265137,10183,1.5408916473388672,-1.8869093237626031
